heldout_task,train_contexts,test_contexts,purged_overlapping_train_contexts,train_test_source_overlap,null_mse,global_model_mse,relative_improvement_over_null,dimension,score_panel,source_policy
longtutor,104,40,0,0,0.701388888888889,0.6289499968439325,0.10327921242053195,affective_warmth,consensus,exclude
mathdial_hard,102,36,6,0,0.9283854166666667,0.6803921479658744,0.2671231842387216,affective_warmth,consensus,exclude
mathdial_standard,68,68,8,0,0.8598484848484848,0.6207069104972911,0.2781205974833266,affective_warmth,consensus,exclude
longtutor,104,40,0,0,0.7027777777777777,0.7129971506838627,-0.01454140018257144,autonomy_support,consensus,exclude
mathdial_hard,102,36,6,0,1.068142361111111,0.8791222024396068,0.1769615788619039,autonomy_support,consensus,exclude
mathdial_standard,68,68,8,0,0.9680134680134682,0.6757050962297877,0.30196725711218464,autonomy_support,consensus,exclude
longtutor,104,40,0,0,0.46736111111111106,0.39605704421304266,0.1525673942544109,cognitive_load,consensus,exclude
mathdial_hard,102,36,6,0,0.4505208333333333,0.4195693019847312,0.06870166495874697,cognitive_load,consensus,exclude
mathdial_standard,68,68,8,0,0.4549663299663299,0.397864067522793,0.12550876555582202,cognitive_load,consensus,exclude
longtutor,104,40,0,0,1.042361111111111,1.0247834821268436,0.016863281637138683,diagnostic_specificity,consensus,exclude
mathdial_hard,102,36,6,0,1.214265046296296,1.192386078692195,0.01801828000471195,diagnostic_specificity,consensus,exclude
mathdial_standard,68,68,8,0,0.6609848484848485,0.737473283395512,-0.115718892930746,diagnostic_specificity,consensus,exclude
longtutor,104,40,0,0,1.1965277777777779,1.101696614184777,0.07925529632845107,elicitation,consensus,exclude
mathdial_hard,102,36,6,0,1.6956018518518519,1.3438682466164262,0.20743879516956165,elicitation,consensus,exclude
mathdial_standard,68,68,8,0,1.4892676767676771,1.0740960677375606,0.2787756798235288,elicitation,consensus,exclude
longtutor,104,40,0,0,0.28680555555555554,0.2853844334283492,0.004955002090017313,epistemic_caution,consensus,exclude
mathdial_hard,102,36,6,0,0.13368055555555555,0.14010372692339276,-0.04804865854382112,epistemic_caution,consensus,exclude
mathdial_standard,68,68,8,0,0.1963383838383838,0.19742889662658827,-0.005554251628668405,epistemic_caution,consensus,exclude
