heldout_task,train_contexts,test_contexts,purged_overlapping_train_contexts,train_test_source_overlap,null_mse,global_model_mse,relative_improvement_over_null,dimension,score_panel,source_policy
longtutor,184,40,0,0,0.701388888888889,0.5874506123739588,0.16244665166485095,affective_warmth,consensus,exclude
mathdial_hard,180,36,8,0,0.9283854166666667,0.7122129957784645,0.23284771282207473,affective_warmth,consensus,exclude
mathdial_standard,147,68,9,0,0.8598484848484848,0.6443325727939353,0.25064405631013686,affective_warmth,consensus,exclude
socratic,140,80,4,0,0.0,0.2478676185438609,,affective_warmth,consensus,exclude
longtutor,184,40,0,0,0.7027777777777777,0.6297271286990007,0.10394558762197514,autonomy_support,consensus,exclude
mathdial_hard,180,36,8,0,1.068142361111111,0.8912790911318677,0.16558024137837324,autonomy_support,consensus,exclude
mathdial_standard,147,68,9,0,0.9680134680134682,0.7196123014425924,0.2566092051184352,autonomy_support,consensus,exclude
socratic,140,80,4,0,0.08194444444444444,0.26237919498534,-2.2019155998210986,autonomy_support,consensus,exclude
longtutor,184,40,0,0,0.46736111111111106,0.3752129465114458,0.19716694951488556,cognitive_load,consensus,exclude
mathdial_hard,180,36,8,0,0.4505208333333333,0.4208899413759426,0.06577030353547997,cognitive_load,consensus,exclude
mathdial_standard,147,68,9,0,0.4549663299663299,0.39181391466540527,0.1388067888575365,cognitive_load,consensus,exclude
socratic,140,80,4,0,0.296875,0.28272032790363355,0.047678895482497485,cognitive_load,consensus,exclude
longtutor,184,40,0,0,1.042361111111111,1.0169818860659148,0.02434782416061465,diagnostic_specificity,consensus,exclude
mathdial_hard,180,36,8,0,1.214265046296296,1.1791768805563438,0.028896628332485408,diagnostic_specificity,consensus,exclude
mathdial_standard,147,68,9,0,0.6609848484848485,0.6791110163804636,-0.027422970340643893,diagnostic_specificity,consensus,exclude
socratic,140,80,4,0,0.0,0.07624164940152002,,diagnostic_specificity,consensus,exclude
longtutor,184,40,0,0,1.1965277777777779,1.0242827842645024,0.14395402824092673,elicitation,consensus,exclude
mathdial_hard,180,36,8,0,1.6956018518518519,1.375449730980297,0.1888132644594016,elicitation,consensus,exclude
mathdial_standard,147,68,9,0,1.4892676767676771,1.1321490760272965,0.23979477048442677,elicitation,consensus,exclude
socratic,140,80,4,0,0.005555555555555555,0.39930247694260246,-70.87444584966845,elicitation,consensus,exclude
longtutor,184,40,0,0,0.28680555555555554,0.2850674379350463,0.006060264826957207,epistemic_caution,consensus,exclude
